,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,East London,90,ZA,1551766260,100,-33.02,27.91,66.2,6.93
1,Mar del Plata,0,AR,1551769856,60,-46.43,-67.52,53.15,18.05
2,Bluff,76,AU,1551769856,57,-23.58,149.07,83.53,13.24
3,Saskylakh,76,RU,1551769856,72,71.97,114.09,-6.48,4.85
4,Jumla,0,NP,1551769857,69,29.28,82.18,32.72,1.72
5,Nargana,100,PA,1551769857,100,9.44,-78.59,79.03,14.47
6,Ushuaia,40,AR,1551765600,60,-54.81,-68.31,41,8.05
7,Banepa,40,NP,1551768600,42,27.63,85.52,66.2,5.82
8,Meulaboh,12,ID,1551769858,96,4.14,96.13,86.9,4.97
9,Mecca,0,SA,1551769858,23,21.43,39.83,65.84,3.96
10,Westport,75,IE,1551769690,100,53.8,-9.52,43.84,9.17
11,Pevek,68,RU,1551769859,78,69.7,170.27,6.49,4.18
12,Kapaa,75,US,1551769704,82,22.08,-159.32,64.36,16.11
13,Bredasdorp,0,ZA,1551769366,67,-34.53,20.04,65.43,12.01
14,PEMEX,100,MX,1551769860,93,18.44,-96.35,67.69,1.72
15,Kpandae,0,GH,1551769861,76,8.46,-0.01,77.9,5.86
16,Provideniya,88,RU,1551769861,93,64.42,-173.23,28.76,6.76
17,Barrow,0,AR,1551769861,72,-38.31,-60.23,55.13,4.74
18,Mataura,0,NZ,1551769806,82,-46.19,168.86,66.99,3
19,The Valley,40,AI,1551769264,78,18.22,-63.06,76.26,12.75
21,Albany,75,US,1551769704,65,42.65,-73.75,12,6.08
22,Jamestown,0,AU,1551769575,91,-33.21,138.6,72.46,10.22
23,Busselton,8,AU,1551769813,21,-33.64,115.35,83.03,16.26
24,Tiksi,12,RU,1551769864,61,71.64,128.87,0.68,10.56
25,Vao,80,EE,1551769864,94,59.1,26.19,36.68,11.45
26,Karratha,0,AU,1551769864,24,-20.74,116.85,103.28,12.01
27,Zaton,48,UA,1551769864,89,49.77,33.77,35.11,14.7
28,Katsuura,75,JP,1551768882,22,33.93,134.5,58.03,10.29
29,Saint-Pierre,75,FR,1551769737,93,48.95,4.24,41.95,19.46
30,Anaco,0,VE,1551769866,66,9.43,-64.46,73.76,15.59
31,Saint-Philippe,75,CA,1551769543,51,45.36,-73.48,12.56,4.7
32,Fairhope,90,US,1551769838,93,30.52,-87.9,36.79,16.11
33,Puerto Ayora,0,EC,1551769867,100,-0.74,-90.35,79.66,6.31
34,Baylo,12,PH,1551769867,79,7.85,126.06,82.76,7.09
35,Rikitea,48,PF,1551769693,97,-23.12,-134.97,81.01,14.58
36,Victoria,75,BN,1551767400,59,5.28,115.24,88.32,6.93
37,Nabire,68,ID,1551769868,85,-3.36,135.5,76.91,2.17
38,Kodiak,1,US,1551769773,30,39.95,-94.76,9.68,14.99
40,Hambantota,40,LK,1551766200,66,6.12,81.12,91.4,2.24
41,Bambous Virieux,40,MU,1551769745,66,-20.34,57.76,86.49,5.82
42,Revda,48,RU,1551769870,79,67.94,34.55,2.75,7.09
44,Kontagora,36,NG,1551769870,72,10.4,5.47,73.81,6.98
45,Yar-Sale,80,RU,1551769870,86,66.83,70.83,1.99,13.8
46,Kavieng,48,PG,1551769871,100,-2.57,150.8,84.11,4.18
47,Punta Arenas,75,CL,1551769392,86,-53.16,-70.91,37.22,12.75
48,Faya,0,SA,1551765600,37,18.39,42.45,67.14,16.11
49,Yellowknife,5,CA,1551769608,78,62.45,-114.38,6.84,8.05
50,Masterton,0,NZ,1551769721,73,-40.95,175.66,65.41,8.1
51,Torbay,90,CA,1551769408,89,47.66,-52.73,32.7,23.04
52,Coahuayana,0,MX,1551769933,71,18.62,-100.35,60.89,1.95
53,Georgetown,20,GY,1551765600,94,6.8,-58.16,73.4,4.7
54,Zambezi,68,ZM,1551769934,86,-13.55,23.12,67.69,11.23
55,Tasiilaq,0,GL,1551765000,66,65.61,-37.64,14,4.7
56,Ilulissat,56,GL,1551765000,72,69.22,-51.1,15.8,2.73
57,Ancud,20,CL,1551765600,93,-41.87,-73.83,48.2,4.7
58,Curillo,8,CO,1551769935,82,1.03,-75.92,68.41,2.73
59,Saldanha,12,PT,1551769935,86,41.42,-6.55,31.28,3.62
60,Teahupoo,75,PF,1551769387,74,-17.83,-149.27,82.18,4.7
61,Wanning,90,AT,1551769927,94,48.64,13.53,37.87,12.75
63,Awjilah,0,LY,1551769936,84,29.14,21.3,45.14,3.18
64,New Norfolk,75,AU,1551769934,60,-42.78,147.06,70.52,8.05
65,Clemmons,90,US,1551769722,55,36.02,-80.38,32.07,3.36
66,Atuona,12,PF,1551769937,100,-9.8,-139.03,82.13,13.91
67,Lima,0,PE,1551769504,88,-12.06,-77.04,71.87,8.05
68,Fort Saint James,0,CA,1551769937,53,54.43,-124.25,2.26,3.18
69,Shache,32,CN,1551769941,42,38.42,77.24,51.04,4.74
70,Hervey Bay,100,AU,1551769810,58,-25.3,152.85,85.15,17.22
71,Pangai,36,TO,1551769942,99,-19.8,-174.35,80.56,20.29
72,Cape Town,0,ZA,1551769651,82,-33.93,18.42,67.05,5.82
73,Cabo San Lucas,5,MX,1551769804,55,22.89,-109.91,64.76,4.7
74,Sidlaghatta,20,IN,1551769897,37,13.39,77.86,86.25,4.7
76,Alice Springs,0,AU,1551767400,8,-23.7,133.88,100.4,12.75
77,Solnechnyy,0,RU,1551769943,66,50.72,136.64,24.98,3.4
78,Constitucion,0,MX,1551769943,46,23.99,-104.67,54.28,6.64
79,Cabatuan,0,PH,1551769944,62,16.95,121.67,84.74,5.97
80,Maiduguri,0,NG,1551769944,29,11.84,13.15,69.35,7.43
81,Aquiraz,75,BR,1551769695,94,-3.9,-38.39,77.34,5.82
82,Lagunas,0,PE,1551769944,89,-5.23,-75.68,77.59,2.06
83,Sechura,56,PE,1551769945,87,-5.56,-80.82,75.11,5.53
84,Wanaka,0,NZ,1551769945,51,-44.7,169.14,69.94,3.96
85,Hilo,90,US,1551769942,68,19.71,-155.08,64.4,5.82
86,Bom Jardim,40,BR,1551765600,94,-7.8,-35.59,73.4,2.24
87,Thompson,20,CA,1551765600,75,55.74,-97.86,-13.01,2.24
88,Ixtapa,5,MX,1551769811,100,20.71,-105.21,70.7,2.24
89,Bambanglipuro,0,ID,1551769947,100,-7.95,110.28,79.07,3.62
91,Kathmandu,40,NP,1551768600,42,27.71,85.32,66.2,5.82
92,Bilma,0,NE,1551769948,32,18.69,12.92,50.68,8.99
94,Khatanga,32,RU,1551769948,78,71.98,102.47,1.81,5.19
95,Avarua,76,CK,1551767400,61,-21.21,-159.78,78.8,4.7
96,Morondava,0,MG,1551769949,80,-20.3,44.28,85.91,3.96
